last_update: 2021/07/19-12:43:10
acceptance_rate: 0.9
time_intervals: 10
min_valid_accepted_interval: 10
2015/10/05-11:20:00,2015/10/05-11:30:00
2015/12/16-09:00:00,2015/12/16-09:10:00
2016/04/13-09:40:00,2016/04/13-09:50:00
2016/04/13-13:40:00,2016/04/13-13:50:00
2016/06/08-14:10:00,2016/06/08-14:20:00
2016/07/11-15:20:00,2016/07/11-15:30:00
2016/07/20-08:30:00,2016/07/20-08:40:00
2016/12/22-16:10:00,2016/12/22-16:20:00
2017/02/08-08:30:00,2017/02/08-08:40:00
2017/02/09-09:40:00,2017/02/09-09:50:00
2017/02/28-10:50:00,2017/02/28-11:00:00
2017/03/14-09:00:00,2017/03/14-09:10:00
2017/03/21-11:50:00,2017/03/21-12:00:00
2017/04/03-11:30:00,2017/04/03-11:40:00
2017/04/18-11:20:00,2017/04/18-11:30:00
2017/05/05-14:20:00,2017/05/05-14:30:00
2017/05/29-15:30:00,2017/05/29-15:40:00
2017/05/30-11:50:00,2017/05/30-12:00:00
2017/06/07-10:20:00,2017/06/07-10:30:00
2017/06/07-11:00:00,2017/06/07-11:10:00
2017/06/14-07:20:00,2017/06/14-07:30:00
2017/06/20-14:30:00,2017/06/20-14:40:00
2017/06/22-13:40:00,2017/06/22-13:50:00
2017/07/19-11:30:00,2017/07/19-11:40:00
2017/07/26-10:00:00,2017/07/26-10:10:00
2017/07/27-10:20:00,2017/07/27-10:30:00
2017/08/09-13:10:00,2017/08/09-13:20:00
2017/08/18-12:00:00,2017/08/18-12:10:00
2017/08/28-15:10:00,2017/08/28-15:20:00
2017/09/12-15:00:00,2017/09/12-15:10:00
2017/09/14-09:00:00,2017/09/14-09:10:00
2017/09/20-07:30:00,2017/09/20-07:40:00
2017/09/25-07:40:00,2017/09/25-07:50:00
2017/09/28-14:30:00,2017/09/28-14:40:00
2017/10/17-15:30:00,2017/10/17-15:40:00
2017/10/19-15:10:00,2017/10/19-15:20:00
2017/12/04-14:10:00,2017/12/04-14:20:00
2018/01/19-09:00:00,2018/01/19-09:10:00
2018/01/30-13:10:00,2018/01/30-13:20:00
2018/01/31-06:40:00,2018/01/31-06:50:00
2018/01/31-15:00:00,2018/01/31-15:10:00
2018/02/01-09:00:00,2018/02/01-09:10:00
2018/02/20-11:10:00,2018/02/20-11:20:00
2018/02/20-11:20:00,2018/02/20-11:30:00
2018/03/16-06:00:00,2018/03/16-06:10:00
2018/03/23-10:20:00,2018/03/23-10:30:00
2018/04/05-11:30:00,2018/04/05-11:40:00
2018/04/10-13:50:00,2018/04/10-14:00:00
2018/04/13-09:50:00,2018/04/13-10:00:00
2018/04/13-11:50:00,2018/04/13-12:00:00
2018/04/16-10:50:00,2018/04/16-11:00:00
2018/04/18-16:20:00,2018/04/18-16:30:00
2018/04/20-13:50:00,2018/04/20-14:00:00
2018/05/04-14:10:00,2018/05/04-14:20:00
2018/05/23-13:10:00,2018/05/23-13:20:00
2018/05/24-12:30:00,2018/05/24-12:40:00
2018/05/25-08:10:00,2018/05/25-08:20:00
2018/06/13-14:40:00,2018/06/13-14:50:00
2018/06/21-09:30:00,2018/06/21-09:40:00
2018/07/17-10:20:00,2018/07/17-10:30:00
2018/07/17-10:30:00,2018/07/17-10:40:00
2018/07/19-14:50:00,2018/07/19-15:00:00
2018/09/11-10:10:00,2018/09/11-10:20:00
2018/09/12-10:50:00,2018/09/12-11:00:00
2018/09/27-13:00:00,2018/09/27-13:10:00
2018/09/28-10:10:00,2018/09/28-10:20:00
2018/10/04-10:10:00,2018/10/04-10:20:00
2018/10/16-13:30:00,2018/10/16-13:40:00
2018/10/17-11:20:00,2018/10/17-11:30:00
2018/10/22-08:10:00,2018/10/22-08:20:00
2018/10/23-10:10:00,2018/10/23-10:20:00
2018/10/31-08:50:00,2018/10/31-09:00:00
2018/11/06-15:30:00,2018/11/06-15:40:00
2018/11/07-09:00:00,2018/11/07-09:10:00
2018/11/15-14:30:00,2018/11/15-14:40:00
2018/11/23-17:10:00,2018/11/23-17:20:00
2018/12/06-09:50:00,2018/12/06-10:00:00
2018/12/07-08:40:00,2018/12/07-08:50:00
2018/12/19-14:20:00,2018/12/19-14:30:00
2019/01/09-10:40:00,2019/01/09-10:50:00
2019/01/16-14:30:00,2019/01/16-14:40:00
2019/02/25-08:40:00,2019/02/25-08:50:00
2019/02/26-12:40:00,2019/02/26-12:50:00
2019/02/28-16:20:00,2019/02/28-16:30:00
2019/03/12-11:50:00,2019/03/12-12:00:00
2019/03/13-14:40:00,2019/03/13-14:50:00
2019/03/20-13:30:00,2019/03/20-13:40:00
2019/03/25-11:30:00,2019/03/25-11:40:00
2019/03/28-07:40:00,2019/03/28-07:50:00
2019/03/28-15:50:00,2019/03/28-16:00:00
2019/04/02-08:40:00,2019/04/02-08:50:00
2019/04/09-07:30:00,2019/04/09-07:40:00
2019/04/15-14:30:00,2019/04/15-14:40:00
2019/04/24-14:10:00,2019/04/24-14:20:00
2019/05/30-09:00:00,2019/05/30-09:10:00
2019/06/10-13:50:00,2019/06/10-14:00:00
2019/06/10-14:00:00,2019/06/10-14:10:00
2019/06/21-15:10:00,2019/06/21-15:20:00
2019/07/19-07:30:00,2019/07/19-07:40:00
2019/07/29-11:10:00,2019/07/29-11:20:00
2019/07/31-16:00:00,2019/07/31-16:10:00
2019/08/01-10:20:00,2019/08/01-10:30:00
2019/08/08-12:50:00,2019/08/08-13:00:00
2019/08/22-13:00:00,2019/08/22-13:10:00
2019/09/12-13:20:00,2019/09/12-13:30:00
2019/09/12-13:30:00,2019/09/12-13:40:00
2019/09/17-08:50:00,2019/09/17-09:00:00
2019/09/17-10:40:00,2019/09/17-10:50:00
2019/09/17-15:50:00,2019/09/17-16:00:00
2019/09/18-08:50:00,2019/09/18-09:00:00
2019/10/09-09:00:00,2019/10/09-09:10:00
2019/11/15-07:50:00,2019/11/15-08:00:00
2019/11/25-14:40:00,2019/11/25-14:50:00
2019/12/02-13:10:00,2019/12/02-13:20:00
2019/12/03-12:10:00,2019/12/03-12:20:00
2020/01/09-08:20:00,2020/01/09-08:30:00
2020/01/09-09:30:00,2020/01/09-09:40:00
2020/01/14-11:30:00,2020/01/14-11:40:00
2020/01/16-07:40:00,2020/01/16-07:50:00
2020/01/21-12:30:00,2020/01/21-12:40:00
2020/01/23-13:10:00,2020/01/23-13:20:00
2020/01/31-06:20:00,2020/01/31-06:30:00
2020/02/10-13:20:00,2020/02/10-13:30:00
2020/02/14-08:20:00,2020/02/14-08:30:00
2020/02/26-15:20:00,2020/02/26-15:30:00
2020/02/27-08:10:00,2020/02/27-08:20:00
2020/03/06-11:00:00,2020/03/06-11:10:00
2020/03/19-14:10:00,2020/03/19-14:20:00
2020/04/03-10:20:00,2020/04/03-10:30:00
2020/04/08-14:10:00,2020/04/08-14:20:00
2020/04/15-08:10:00,2020/04/15-08:20:00
2020/04/15-12:30:00,2020/04/15-12:40:00
2020/05/19-09:40:00,2020/05/19-09:50:00
2020/06/01-12:20:00,2020/06/01-12:30:00
2020/06/02-13:00:00,2020/06/02-13:10:00
2020/06/02-14:30:00,2020/06/02-14:40:00
2020/06/15-14:10:00,2020/06/15-14:20:00
2020/06/18-15:00:00,2020/06/18-15:10:00
2020/06/19-15:10:00,2020/06/19-15:20:00
2020/06/26-14:00:00,2020/06/26-14:10:00
2020/06/29-11:00:00,2020/06/29-11:10:00
2020/06/29-12:50:00,2020/06/29-13:00:00
2020/07/08-11:00:00,2020/07/08-11:10:00
2020/07/22-08:50:00,2020/07/22-09:00:00
2020/07/22-13:40:00,2020/07/22-13:50:00
2020/07/23-13:00:00,2020/07/23-13:10:00
2020/07/24-10:50:00,2020/07/24-11:00:00
2020/07/27-16:40:00,2020/07/27-16:50:00
2020/07/30-15:50:00,2020/07/30-16:00:00
2020/08/13-15:10:00,2020/08/13-15:20:00
2020/08/14-15:30:00,2020/08/14-15:40:00
2020/08/17-13:10:00,2020/08/17-13:20:00
2020/08/19-16:10:00,2020/08/19-16:20:00
2020/08/25-11:40:00,2020/08/25-11:50:00
2020/08/25-12:00:00,2020/08/25-12:10:00
2020/08/25-12:10:00,2020/08/25-12:20:00
2020/08/31-09:40:00,2020/08/31-09:50:00
2020/08/31-10:50:00,2020/08/31-11:00:00
2020/09/01-08:40:00,2020/09/01-08:50:00
2020/09/02-08:40:00,2020/09/02-08:50:00
2020/09/03-17:30:00,2020/09/03-17:40:00
2020/09/03-17:40:00,2020/09/03-17:50:00
2020/09/10-10:00:00,2020/09/10-10:10:00
2020/09/18-16:30:00,2020/09/18-16:40:00
2020/09/25-07:40:00,2020/09/25-07:50:00
2020/10/06-14:50:00,2020/10/06-15:00:00
2020/10/08-15:20:00,2020/10/08-15:30:00
2020/10/11-15:20:00,2020/10/11-15:30:00
2020/10/15-07:50:00,2020/10/15-08:00:00
2020/10/16-15:10:00,2020/10/16-15:20:00
2020/10/26-11:20:00,2020/10/26-11:30:00
2020/11/03-10:40:00,2020/11/03-10:50:00
2020/11/05-11:00:00,2020/11/05-11:10:00
2020/11/10-11:40:00,2020/11/10-11:50:00
2020/11/12-17:00:00,2020/11/12-17:10:00
2020/11/13-16:10:00,2020/11/13-16:20:00
